Id,Label,timeset,degree,clustering,triangles,componentnumber,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,modularity_class,weighted degree
JB  Roldan,JB  Roldan,,8,1,28,0,7,0.273,0.293145,0,0.018887,7,8
J.M. Puerta,J.M. Puerta,,4,1,6,0,6,0.342925,0.368684,0,0.056631,1,6
J.C. Riquelme,J.C. Riquelme,,4,1,6,0,6,0.342925,0.368684,0,0.056631,1,4
L. Jiang,L. Jiang,,4,1,6,0,6,0.34504,0.371664,0,0.063428,21,4
J. Xu,J. Xu,,4,1,6,0,6,0.34504,0.371664,0,0.063428,21,4
S. Cevik Onar,S. Cevik Onar,,5,1,10,0,7,0.286446,0.305846,0,0.027418,24,5
F.J. Estrella,F.J. Estrella,,8,0.607143,17,0,6,0.345697,0.374301,0.000788,0.077135,24,11
B. Oztaysi,B. Oztaysi,,5,1,10,0,7,0.286446,0.305846,0,0.027418,24,5
C. Kahraman,C. Kahraman,,13,0.705128,55,0,6,0.34619,0.377396,0.000826,0.114888,24,15
Y. Zulueta,Y. Zulueta,,3,1,3,0,7,0.287693,0.306878,0,0.021378,24,3
R. Bello,R. Bello,,12,0.469697,31,0,6,0.346851,0.377854,0.000845,0.097735,14,18
Molina J,Molina J,,15,1,105,0,8,0.220637,0.245772,0,0.056027,7,15
GA. de Erausquin,GA. de Erausquin,,24,0.543478,150,0,7,0.280046,0.315841,0.018541,0.08843,7,25
Balda M,Balda M,,15,1,105,0,8,0.220637,0.245772,0,0.056027,7,15
Kamis D,Kamis D,,15,1,105,0,8,0.220637,0.245772,0,0.056027,7,15
Calvo M,Calvo M,,15,1,105,0,8,0.220637,0.245772,0,0.056027,7,15
Padilla E,Padilla E,,15,1,105,0,8,0.220637,0.245772,0,0.056027,7,15
Guerrero G,Guerrero G,,15,1,105,0,8,0.220637,0.245772,0,0.056027,7,15
Bourdieu M,Bourdieu M,,15,1,105,0,8,0.220637,0.245772,0,0.056027,7,15
Molina Rangeon M,Molina Rangeon M,,15,1,105,0,8,0.220637,0.245772,0,0.056027,7,15
Gonzalez Aleman G,Gonzalez Aleman G,,15,1,105,0,8,0.220637,0.245772,0,0.056027,7,15
Strejilevich S,Strejilevich S,,15,1,105,0,8,0.220637,0.245772,0,0.056027,7,15
Florenzano N,Florenzano N,,15,1,105,0,8,0.220637,0.245772,0,0.056027,7,15
Conesa H,Conesa H,,15,1,105,0,8,0.220637,0.245772,0,0.056027,7,15
Escobar J,Escobar J,,15,1,105,0,8,0.220637,0.245772,0,0.056027,7,15
Cloninger CR,Cloninger CR,,15,1,105,0,8,0.220637,0.245772,0,0.056027,7,15
P. Morales,P. Morales,,5,1,10,0,6,0.343573,0.37006,0,0.066312,1,5
