Id,Label,timeset,degree,clustering,triangles,componentnumber,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,modularity_class,weighted degree
A. de Madrid,A. de Madrid,,3,1,3,0,7,0.272489,0.289707,0,0.009605,7,3
A. Angelopoulos,A. Angelopoulos,,13,1,78,0,6,0.21891,0.238858,0,0.034368,13,13
A. Peyaud,A. Peyaud,,13,1,78,0,6,0.21891,0.238858,0,0.034368,13,13
C. Chelmis,C. Chelmis,,13,1,78,0,6,0.21891,0.238858,0,0.034368,13,13
V. Costopoulos,V. Costopoulos,,13,1,78,0,6,0.21891,0.238858,0,0.034368,13,13
I. Giomataris,I. Giomataris,,13,1,78,0,6,0.21891,0.238858,0,0.034368,13,13
A. Gongadze,A. Gongadze,,13,1,78,0,6,0.21891,0.238858,0,0.034368,13,13
T. Herbert,T. Herbert,,13,1,78,0,6,0.21891,0.238858,0,0.034368,13,13
I. Kantemiris,I. Kantemiris,,13,1,78,0,6,0.21891,0.238858,0,0.034368,13,13
S. Kirch,S. Kirch,,13,1,78,0,6,0.21891,0.238858,0,0.034368,13,13
J.P. Mols,J.P. Mols,,13,1,78,0,6,0.21891,0.238858,0,0.034368,13,13
T. Papaevangelou,T. Papaevangelou,,13,1,78,0,6,0.21891,0.238858,0,0.034368,13,13
P. Pavlopoulos,P. Pavlopoulos,,13,1,78,0,6,0.21891,0.238858,0,0.034368,13,13
F. Quinlan,F. Quinlan,,13,1,78,0,6,0.21891,0.238858,0,0.034368,13,13
Z. Ren,Z. Ren,,2,1,1,0,7,0.260014,0.27508,0,0.008295,24,2
DM. Svrakic,DM. Svrakic,,10,1,45,0,7,0.278544,0.306213,0,0.042997,7,10
J. Arnedo,J. Arnedo,,15,0.571429,60,0,7,0.279079,0.309652,0.006622,0.050241,7,19
H. Hernandez-Cuervo,H. Hernandez-Cuervo,,10,1,45,0,7,0.278544,0.306213,0,0.042997,7,10
AH. Fanous,AH. Fanous,,10,1,45,0,7,0.278544,0.306213,0,0.042997,7,10
MT. Pato,MT. Pato,,10,1,45,0,7,0.278544,0.306213,0,0.042997,7,10
CN. Pato,CN. Pato,,10,1,45,0,7,0.278544,0.306213,0,0.042997,7,10
CR. Cloninger,CR. Cloninger,,10,1,45,0,7,0.278544,0.306213,0,0.042997,7,10
V. Bellofatto,V. Bellofatto,,6,1,15,0,7,0.275275,0.297272,0,0.021254,31,6
Das A,Das A,,6,1,15,0,7,0.275275,0.297272,0,0.021254,31,6
J. Rosenfeld,J. Rosenfeld,,6,1,15,0,7,0.275275,0.297272,0,0.021254,31,6
M. Carrington,M. Carrington,,6,1,15,0,7,0.275275,0.297272,0,0.021254,31,6
AM. Estevez,AM. Estevez,,6,1,15,0,7,0.275275,0.297272,0,0.021254,31,6
TW.Allen,TW.Allen,,17,1,136,0,8,0.220905,0.247606,0,0.073906,31,17
Cournia,Cournia,,17,1,136,0,8,0.220905,0.247606,0,0.073906,31,17
I. Andricioaei,I. Andricioaei,,17,1,136,0,8,0.220905,0.247606,0,0.073906,31,17
B.Antonny,B.Antonny,,17,1,136,0,8,0.220905,0.247606,0,0.073906,31,17
D. Baum,D. Baum,,17,1,136,0,8,0.220905,0.247606,0,0.073906,31,17
G. Brannigan,G. Brannigan,,17,1,136,0,8,0.220905,0.247606,0,0.073906,31,17
NV.Buchete,NV.Buchete,,17,1,136,0,8,0.220905,0.247606,0,0.073906,31,17
JT. Deckman,JT. Deckman,,17,1,136,0,8,0.220905,0.247606,0,0.073906,31,17
L.Delemotte,L.Delemotte,,17,1,136,0,8,0.220905,0.247606,0,0.073906,31,17
R. Friedman,R. Friedman,,17,1,136,0,8,0.220905,0.247606,0,0.073906,31,17
P.Gkeka,P.Gkeka,,17,1,136,0,8,0.220905,0.247606,0,0.073906,31,17
HC. Hege,HC. Hege,,17,1,136,0,8,0.220905,0.247606,0,0.073906,31,17
J. Henin,J. Henin,,17,1,136,0,8,0.220905,0.247606,0,0.073906,31,17
MA. Kasimova,MA. Kasimova,,17,1,136,0,8,0.220905,0.247606,0,0.073906,31,17
A. Kolocouris,A. Kolocouris,,17,1,136,0,8,0.220905,0.247606,0,0.073906,31,17
ML. Klein,ML. Klein,,17,1,136,0,8,0.220905,0.247606,0,0.073906,31,17
S. Khalid,S. Khalid,,17,1,136,0,8,0.220905,0.247606,0,0.073906,31,17
MJ. Luque-Navas,MJ. Luque-Navas,,5,1,10,0,8,0.220103,0.239353,0,0.011906,31,5
DC. Garcia-Ramon,DC. Garcia-Ramon,,5,1,10,0,8,0.220103,0.239353,0,0.011906,31,5
CA. Molina,CA. Molina,,5,1,10,0,8,0.220103,0.239353,0,0.011906,31,5
A: Osuna,A: Osuna,,5,1,10,0,8,0.220103,0.239353,0,0.011906,31,5
S. Vilchez,S. Vilchez,,5,1,10,0,8,0.220103,0.239353,0,0.011906,31,5
D. Mamah,D. Mamah,,6,1,15,0,8,0.220036,0.239582,0,0.015974,7,6
D.A. Baranger,D.A. Baranger,,6,1,15,0,8,0.220036,0.239582,0,0.015974,7,6
D.M. Svrakic,D.M. Svrakic,,6,1,15,0,8,0.220036,0.239582,0,0.015974,7,6
G.A. De Erausquin,G.A. De Erausquin,,6,1,15,0,8,0.220036,0.239582,0,0.015974,7,6
J. Kacprzyk,J. Kacprzyk,,3,1,3,0,7,0.315538,0.356098,0,0.061105,2,3
A. Quirin,A. Quirin,,2,1,1,0,5,0.271776,0.286589,0,0.008778,13,2
P. Shelokar,P. Shelokar,,2,1,1,0,5,0.271776,0.286589,0,0.008778,13,2
M. Restrepo,M. Restrepo,,2,1,1,0,7,0.261793,0.276983,0,0.008907,14,4
J. Gomez,J. Gomez,,2,1,1,0,7,0.261793,0.276983,0,0.008907,14,4
R. Sanchez-Reillo,R. Sanchez-Reillo,,4,1,6,0,6,0.346686,0.373957,0,0.082895,1,4
J. Medina,J. Medina,,2,1,1,0,7,0.261793,0.276983,0,0.012755,14,2
J. de Oña,J. de Oña,,4,1,6,0,7,0.31942,0.361027,0,0.076517,2,4
J.M. Garcia-Torres,J.M. Garcia-Torres,,3,1,3,0,5,0.275066,0.292022,0,0.016217,13,3
E. Peis,E. Peis,,7,0.571429,12,0,7,0.319842,0.365039,0.000128,0.086641,2,8
R. Sanz,R. Sanz,,4,1,6,0,7,0.315675,0.356786,0,0.059528,2,4
M. Costantini,M. Costantini,,2,1,1,0,7,0.26446,0.282714,0,0.019473,1,2
J. Otero,J. Otero,,5,1,10,0,6,0.26896,0.283586,0,0.012262,10,8
R. Suarez,R. Suarez,,5,1,10,0,6,0.26896,0.283586,0,0.012262,10,5
L. Junco,L. Junco,,5,1,10,0,6,0.26896,0.283586,0,0.012262,10,5
Liao Tianjun,Liao Tianjun,,3,1,3,0,7,0.258076,0.271871,0,0.006319,22,3
Marco A. Montes de Oca,Marco A. Montes de Oca,,3,1,3,0,7,0.258076,0.271871,0,0.006319,22,3
M. Galende,M. Galende,,4,0.833333,5,0,6,0.343248,0.369143,0.00083,0.053231,10,6
D.S. Tarrago,D.S. Tarrago,,3,1,3,0,6,0.343735,0.369372,0,0.057746,14,3
O. Miguel-Hurtado,O. Miguel-Hurtado,,5,1,10,0,6,0.346851,0.374645,0,0.092192,1,5
Daniel Torres-Salinas,Daniel Torres-Salinas,,3,1,3,0,6,0.342763,0.367996,0,0.050113,32,3
Nicolas Robinson-Garcia,Nicolas Robinson-Garcia,,3,1,3,0,6,0.342763,0.367996,0,0.050113,32,3
Emilio Delgado Lopez-Cozar,Emilio Delgado Lopez-Cozar,,3,1,3,0,6,0.342763,0.367996,0,0.050113,32,3
D. Gomez-Lorente,D. Gomez-Lorente,,3,1,3,0,7,0.265522,0.285122,0,0.016843,33,3
C. Gil,C. Gil,,3,1,3,0,7,0.265522,0.285122,0,0.016843,33,3
O. Rabaza,O. Rabaza,,3,1,3,0,7,0.265522,0.285122,0,0.016843,33,3
B. Esteban,B. Esteban,,4,1,6,0,7,0.315675,0.356786,0,0.058304,2,4
M. Arroyo,M. Arroyo,,4,1,6,0,7,0.315675,0.356786,0,0.058304,2,4
P. Gonzalez,P. Gonzalez,,3,1,3,0,6,0.343086,0.368455,0,0.059135,1,3
G. Sainz,G. Sainz,,3,1,3,0,7,0.258076,0.271183,0,0.009882,10,3
N. Sanchez-Maroño,N. Sanchez-Maroño,,4,1,6,0,6,0.343898,0.37006,0,0.069292,1,4
H. Muñoz-Collazos,H. Muñoz-Collazos,,5,1,10,0,7,0.315812,0.357474,0,0.057904,34,5
R. Urbano-Muñoz,R. Urbano-Muñoz,,5,1,10,0,7,0.315812,0.357474,0,0.057904,34,5
M. Mendoza,M. Mendoza,,5,1,10,0,7,0.315812,0.357474,0,0.057904,34,5
E. Leon,E. Leon,,5,1,10,0,7,0.315812,0.357474,0,0.057904,34,5
S. Hui,S. Hui,,4,1,6,0,6,0.345697,0.372581,0,0.076485,1,4
P. N. Suganthan,P. N. Suganthan,,4,1,6,0,6,0.345697,0.372581,0,0.076485,1,4
M. Fazzolari,M. Fazzolari,,2,1,1,0,6,0.342925,0.367767,0,0.049305,10,2
Andrzej Janusz,Andrzej Janusz,,6,1,15,0,6,0.34504,0.372581,0,0.080057,14,6
L. S. Riza,L. S. Riza,,6,1,15,0,6,0.34504,0.372581,0,0.080057,14,6
Dominik Slezak,Dominik Slezak,,6,1,15,0,6,0.34504,0.372581,0,0.080057,14,6
H.M. Kammoun,H.M. Kammoun,,4,1,6,0,8,0.155608,0.168303,0,0.004327,16,4
A. Abraham,A. Abraham,,4,1,6,0,8,0.155608,0.168303,0,0.004327,16,4
M. Botella,M. Botella,,6,1,15,0,5,0.275692,0.294773,0,0.026902,13,6
M. Gea,M. Gea,,5,0.5,5,0,7,0.258535,0.273475,0.000009,0.007162,0,10
C. Dondi,C. Dondi,,2,1,1,0,7,0.258259,0.271412,0,0.004998,0,2
J. Haywood,J. Haywood,,2,1,1,0,7,0.258259,0.271412,0,0.004998,0,2
B. Rojas,B. Rojas,,3,1,3,0,7,0.258351,0.2721,0,0.005815,0,6
R. Bergaz,R. Bergaz,,3,1,3,0,7,0.258351,0.2721,0,0.005815,0,6
V. Gamiz,V. Gamiz,,2,1,1,0,7,0.258259,0.271412,0,0.004775,0,2
M.C. Perez,M.C. Perez,,2,1,1,0,7,0.258259,0.271412,0,0.004775,0,2
H. Liu,H. Liu,,1,0,0,0,7,0.259921,0.274392,0,0.007365,24,1
Bondar L.,Bondar L.,,2,1,1,0,8,0.219903,0.23729,0,0.008089,31,2
M. Diaz,M. Diaz,,4,1,6,0,7,0.315675,0.356786,0,0.059239,2,4
A. Lima,A. Lima,,4,1,6,0,7,0.315675,0.356786,0,0.059239,2,4
